Function,P_value,Enrichment
DNA-binding transcription factor activity,2.18E-11,1.59 (19583; 1404)
Passive transmembrane transporter activity,7.02E-10,2.03 (19583; 457)
Signaling receptor binding,7.87E-11,1.54 (19583; 1547)
Regulatory region nucleic acid binding,1.83E-11,1.58 (19583; 1485)
Double-stranded DNA binding,4.95E-10,1.50 (19583; 1637)
Transcription regulatory region DNA binding,1.72E-11,1.58 (19583; 1484)
