Function,P_value,Enrichment
Axon,3.03E-12,2.48 (19583; 308)
Dendrite,8.26E-13,2.29 (19583; 416)
Plasma membrane part,6.92E-18,1.52 (19583; 2763)
Synapse part,5.65E-22,2.13 (19583; 926)
Synaptic membrane,8.21E-10,2.42 (19583; 259)
Extracellular matrix,3.53E-12,2.06 (19583; 552)
